algorithmName,distribution,inputSize,repeat,timeNs,comparisons,moves
SelectionSort,reversed,5600,2,38981200,15677200,8400
SelectionSort,reversed,5600,3,33465500,15677200,8400
SelectionSort,reversed,5600,4,33278800,15677200,8400
InsertionSort,reversed,5600,1,27910200,15677200,15682799
InsertionSort,reversed,5600,2,29662600,15677200,15682799
InsertionSort,reversed,5600,3,32274000,15677200,15682799
InsertionSort,reversed,5600,4,35576800,15677200,15682799
SelectionSort,reversed,11200,1,126283000,62714400,16800
SelectionSort,reversed,11200,2,275245000,62714400,16800
SelectionSort,reversed,11200,3,149661000,62714400,16800
SelectionSort,reversed,11200,4,132147100,62714400,16800
InsertionSort,reversed,11200,1,128979400,62714400,62725599
InsertionSort,reversed,11200,2,125833600,62714400,62725599
InsertionSort,reversed,11200,3,126653000,62714400,62725599
InsertionSort,reversed,11200,4,114123900,62714400,62725599
SelectionSort,nearly_sorted,350,1,103700,61075,42
SelectionSort,nearly_sorted,350,2,136500,61075,42
SelectionSort,nearly_sorted,350,3,112500,61075,42
SelectionSort,nearly_sorted,350,4,101900,61075,42
InsertionSort,nearly_sorted,350,1,7300,3451,3426
InsertionSort,nearly_sorted,350,2,6700,3451,3426
InsertionSort,nearly_sorted,350,3,6300,3451,3426
InsertionSort,nearly_sorted,350,4,6200,3451,3426
SelectionSort,nearly_sorted,700,1,390700,244650,84
SelectionSort,nearly_sorted,700,2,416600,244650,84
SelectionSort,nearly_sorted,700,3,390300,244650,84
SelectionSort,nearly_sorted,700,4,421500,244650,84
InsertionSort,nearly_sorted,700,1,26200,14887,14848
InsertionSort,nearly_sorted,700,2,25200,14887,14848
InsertionSort,nearly_sorted,700,3,24900,14887,14848
InsertionSort,nearly_sorted,700,4,54600,14887,14848
SelectionSort,nearly_sorted,1400,1,1657900,979300,168
SelectionSort,nearly_sorted,1400,2,1561000,979300,168
SelectionSort,nearly_sorted,1400,3,1607700,979300,168
SelectionSort,nearly_sorted,1400,4,1549100,979300,168
InsertionSort,nearly_sorted,1400,1,124100,53803,53795
InsertionSort,nearly_sorted,1400,2,90000,53803,53795
InsertionSort,nearly_sorted,1400,3,94700,53803,53795
InsertionSort,nearly_sorted,1400,4,103400,53803,53795
SelectionSort,nearly_sorted,2800,1,6580800,3918600,336
SelectionSort,nearly_sorted,2800,2,6396500,3918600,336
SelectionSort,nearly_sorted,2800,3,6468500,3918600,336
SelectionSort,nearly_sorted,2800,4,6476300,3918600,336
InsertionSort,nearly_sorted,2800,1,324000,196291,196286
InsertionSort,nearly_sorted,2800,2,447800,196291,196286
InsertionSort,nearly_sorted,2800,3,323500,196291,196286
InsertionSort,nearly_sorted,2800,4,318600,196291,196286
SelectionSort,nearly_sorted,5600,1,24833400,15677200,672
SelectionSort,nearly_sorted,5600,2,24108500,15677200,672
SelectionSort,nearly_sorted,5600,3,25178600,15677200,672
SelectionSort,nearly_sorted,5600,4,23858200,15677200,672
InsertionSort,nearly_sorted,5600,1,1263000,806827,806769
InsertionSort,nearly_sorted,5600,2,1282100,806827,806769
InsertionSort,nearly_sorted,5600,3,1332900,806827,806769
InsertionSort,nearly_sorted,5600,4,1358300,806827,806769
SelectionSort,nearly_sorted,11200,1,94066900,62714400,1344
SelectionSort,nearly_sorted,11200,2,97814900,62714400,1344
SelectionSort,nearly_sorted,11200,3,96365200,62714400,1344
SelectionSort,nearly_sorted,11200,4,101271900,62714400,1344
InsertionSort,nearly_sorted,11200,1,5676800,3076239,3076164
InsertionSort,nearly_sorted,11200,2,5115200,3076239,3076164
InsertionSort,nearly_sorted,11200,3,4864400,3076239,3076164
InsertionSort,nearly_sorted,11200,4,4980400,3076239,3076164
